Month,Elevation,SCA,CCA
10.0,500,0.0,6.962055089555504
10.0,600,0.0,6.12898336802174
10.0,700,0.0,5.380635113968815
10.0,800,0.0,4.624924891821073
10.0,900,0.0,4.186147855412931
10.0,1000,0.0,3.789199590087915
10.0,1100,0.0,3.776692979378905
10.0,1200,0.0,3.892774227018439
10.0,1300,0.0,4.371742912855645
10.0,1400,0.010919451659343183,4.811820758579488
10.0,1500,0.001777762285295987,5.206159345994883
10.0,1600,3.818925640744111E-5,5.457550463343511
10.0,1700,0.004996067235703663,5.725759097845642
10.0,1800,0.01562682749467322,5.953483085493158
10.0,1900,0.047286597395764775,6.199548960779135
10.0,2000,0.13870299597166563,6.2008477522903
10.0,2100,0.2156610891249503,6.462622794163384
10.0,2200,0.3474316750447796,6.560878591325199
10.0,2300,0.6219457163713583,6.671366859332776
10.0,2400,1.248878313097575,6.912284184564436
10.0,2500,2.1850119121566856,6.9701708075438145
10.0,2600,3.79810028716587,7.144418313018636
10.0,2700,7.1843309597369425,7.382781783454196
10.0,2800,9.5788949514381,7.49731912924133
10.0,2900,16.165713465063753,7.9791038248203225
10.0,3000,20.506222881054867,8.006908950927313
10.0,3100,25.772210235089688,8.154004031114086
10.0,3200,33.24275189875109,8.3932338264527
10.0,3300,38.907605156509675,8.602770348428804
10.0,3400,49.81550651623724,9.14420774475332
10.0,3500,55.82229445683336,9.325162278099825
10.0,3600,60.35096790860063,9.330667041763517
10.0,3700,62.99003539994541,9.41731687358967
10.0,3800,65.90392388924131,9.562653983465118
10.0,3900,67.92887976081197,9.92483487913473
10.0,4000,67.7675321346171,10.072335474434919
10.0,4100,69.05216806311525,10.666432691234238
10.0,4200,70.06666251905307,11.059907998872292
10.0,4300,67.99629008038157,11.626765969261129
10.0,4400,66.98506632774642,11.907603108728292
10.0,4500,67.76316907391676,13.283748774165824
10.0,4600,66.50408997955009,13.622142644292348
10.0,4700,69.67520933773153,13.91820603437221
10.0,4800,70.88493324856962,15.668176667772181
10.0,4900,65.46004842615011,15.437406462745347
10.0,5000,59.64556962025317,17.052057372701967
11.0,100,0.0,11.748272731761599
11.0,200,0.0,5.664867009897706
11.0,300,0.0,3.770866935776835
11.0,400,0.0,2.9255269880269847
11.0,500,0.0,2.4827291009295362
11.0,600,0.0,2.3151110552364096
11.0,700,0.0,2.0640732648004074
11.0,800,0.0,1.8213388901503207
11.0,900,0.0,1.6856565015473683
11.0,1000,0.0,1.5751818141828502
11.0,1100,0.0,1.6151359984154556
11.0,1200,0.0,1.6364998598413987
11.0,1300,0.0,1.8019056394774902
11.0,1400,0.0076755663643300436,1.8896482804734986
11.0,1500,0.0011023869073036388,2.08438936383028
11.0,1600,0.0,2.1783919800878855
11.0,1700,0.0,2.3234725328382324
11.0,1800,0.0,2.4812656315181507
11.0,1900,4.99802709456793E-4,2.6466338907358042
11.0,2000,0.01018228076565531,2.7059522881892875
11.0,2100,0.015806892082667924,2.831371814478475
11.0,2200,0.03070048727875036,2.964482734268929
11.0,2300,0.07333598778950146,3.146679012176169
11.0,2400,0.1328320981637302,3.3075409055361993
11.0,2500,0.24219812707872973,3.432010540623591
11.0,2600,0.38804211766438385,3.5631788945622356
11.0,2700,0.8311662563814477,3.5666464942310325
11.0,2800,1.2227547050962282,3.706282110776849
11.0,2900,2.769271708920096,3.9193681085307492
11.0,3000,4.002964747301596,3.9055752433305964
11.0,3100,5.8376399299316235,4.017266065054614
11.0,3200,9.10964827017566,4.213335952997559
11.0,3300,11.378810007017762,4.333486299113247
11.0,3400,17.337964474088768,4.628168381634265
11.0,3500,22.067362974722048,4.782975939994869
11.0,3600,26.850217914850674,4.840329757765599
11.0,3700,30.02546303774917,4.9800569272333615
11.0,3800,34.095390016180275,5.153446574864479
11.0,3900,37.225192886158474,5.397848756444021
11.0,4000,38.61880348140262,5.572411225448879
11.0,4100,42.06550058100408,5.872044296758354
11.0,4200,44.58148505303763,6.18076941688009
11.0,4300,45.37593852133205,6.424816466939513
11.0,4400,45.21137500992931,6.3891647028711125
11.0,4500,49.101529311809685,7.141169286321156
11.0,4600,48.70637355146558,7.080611414072561
11.0,4700,51.292819081451405,7.83983901435056
11.0,4800,57.23903369357916,8.33916083916084
11.0,4900,51.445520581113804,8.330979284369116
11.0,5000,41.79746835443038,9.263361462728554
12.0,100,0.0,10.25512180328451
12.0,200,0.0,6.237229701869819
12.0,300,0.0,3.774428670734363
12.0,400,0.0,2.471745855636907
12.0,500,0.0,1.3256094337341595
12.0,600,0.0,0.8907322670585831
12.0,700,0.0,0.6040685973108473
12.0,800,0.0,0.36899988780416876
12.0,900,0.0,0.25570085403973264
12.0,1000,0.0,0.1979983932679605
12.0,1100,0.0,0.19414296495775168
12.0,1200,0.0,0.17681076471908413
12.0,1300,0.0,0.20197391867590245
12.0,1400,0.0022741026691575302,0.21747357196840827
12.0,1500,6.884471595018773E-4,0.2605395806516271
12.0,1600,0.0,0.2755304803392315
12.0,1700,0.0,0.2775371028354433
12.0,1800,0.0,0.2824317405877411
12.0,1900,0.0,0.3030403957690734
12.0,2000,0.0,0.3056228912594097
12.0,2100,0.0,0.31389678653837233
12.0,2200,0.0,0.3166909764137814
12.0,2300,0.00102860176521335,0.2994232801514466
12.0,2400,0.0014262983615487138,0.2959829204875072
12.0,2500,0.0030822214009954244,0.26497710950095377
12.0,2600,0.004344304543111691,0.23954855611965906
12.0,2700,0.012622466006905975,0.23204134237402602
12.0,2800,0.03698533354897463,0.21707838523551357
12.0,2900,0.09310400175715727,0.25356408960440097
12.0,3000,0.14463180000308795,0.23296425638710466
12.0,3100,0.26939472081676136,0.25893381564261825
12.0,3200,0.6101342700282205,0.28249550827055053
12.0,3300,0.9113479885438983,0.3233780489001473
12.0,3400,2.0129236736914184,0.3705816312715641
12.0,3500,3.1950292508178753,0.4231132045721403
12.0,3600,4.4430754743710255,0.4718442049123873
12.0,3700,5.562983749255748,0.5292262308130693
12.0,3800,7.1866520299823,0.5801859265711036
12.0,3900,8.186833758939976,0.6870609022587966
12.0,4000,9.062267306307243,0.7761040416274948
12.0,4100,10.433367989725367,0.9445569334083567
12.0,4200,11.620213394718006,1.119370799217261
12.0,4300,12.609000971645617,1.2533033259787143
12.0,4400,12.66065612836604,1.2892342720546544
12.0,4500,15.902718776550557,1.7360245125356666
12.0,4600,16.610259032038183,1.720270533578635
12.0,4700,19.9363105810708,1.9073436685738296
12.0,4800,21.512396694214885,1.7764892325009631
12.0,4900,23.973365617433416,1.8703298706032443
12.0,5000,11.0,1.504298806769203
